Competition,date,time,Venue,HomeTeam,Home Score,Away Score,Away team,Ref
U16 Football League Div.3,26 Mar,15:00,St Annes 14,Naomh Barrog,"
										1-12
									","
										0-8
									",Ballymun Kickhams,TBC
U16 Football League Div.3,26 Mar,15:00,Martin Savage Park,St Oliver Plunkett ER,"
										1-12
									","
										4-7
									",Westmanstown Gaels,Eoin Crossen
U16 Football League Div.3,12 Mar,19:30,Russell Park,St Brigids,"
										W/O
									","
										W/O
									",Naomh Barrog,Terry Carton Naomh Fionnbarra
U16 Football League Div.3,12 Mar,15:00,Shanganagh Park,Cuala A,"
										2-3
									","
										0-6
									",St Oliver Plunkett ER,Robert Doyle - Round Towers C
U16 Football League Div.3,12 Mar,15:00,Westmanstown Sports Centre,Westmanstown Gaels,"
										2-9
									","
										3-4
									",Craobh Chiarain,Eoin Crossen
U16 Football League Div.3,26 Feb,15:00,Clonshaugh,Craobh Chiarain,"
										1-7
									","
										5-5
									",St Brigids,Chris McGinn Clontarf
U16 Football League Div.3,26 Feb,15:00,Martin Savage Park,St Oliver Plunkett ER,"
										0-13
									","
										0-5
									",Ballymun Kickhams,Rory Hanley St Brigids
U16 Football League Div.6,13 Jul,19:30,Fairview Park,Scoil Ui Chonaill,"
										6-11
									","
										4-14
									",Thomas Ashe,Kevin McDonnell - St Vincents
U16 Football League Div.6,09 Jul,15:00,Bremore Park,O Dwyers A,"
										W/O
									","
										W/O
									",O Tooles,Gerry Seaver Ballyboughal
U16 Football League Div.6,26 May,19:15,St Margarets,Thomas Ashe,"
										7-13
									","
										4-5
									",Round Towers L,Ernie Brenner St Sylvesters
U16 Football League Div.6,21 May,15:30,Silver Park,Kilmacud Crokes B,"
										4-6
									","
										3-8
									",St Vincents B,John Rutherford Ballyboden St Enda
U16 Football League Div.6,21 May,15:00,Clontarf Road,Scoil Ui Chonaill,"
										7-15
									","
										5-10
									",St Judes B,Adrian Kavanagh Naomh Mearnog
U16 Football League Div.6,17 May,19:30,Lusk,Round Towers L,"
										4-5
									","
										2-2
									",Kilmacud Crokes B,David Cullen Fingallians
U16 Football League Div.6,17 May,19:30,Pairc Ui Tuaithail Blunden Drive,O Tooles,"
										2-15
									","
										2-14
									",Scoil Ui Chonaill,Colm McCarthy-St Vincents
U16 Football League Div.6,17 May,19:30,Tymon Park,St Judes B,"
										W/O
									","
										W/O
									",O Dwyers A,John Doherty Robert Emmets
U16 Football League Div.6,17 May,19:30,PNU,St Vincents B,"
										2-8
									","
										3-11
									",Thomas Ashe,Brian Moore Craobh Chiaran
U16 Football League Div.6,10 May,19:30,Tymon Park,St Judes B,"
										3-10
									","
										4-12
									",Round Towers L,Lee Moroney St Annes
U16 Football League Div.6,05 May,19:30,St Margarets,Thomas Ashe,"
										5-5
									","
										5-9
									",O Tooles,Kevin Roche Whitehall Colmcille
U16 Football League Div.6,05 May,19:30,Lusk,Round Towers L,"
										4-8
									","
										2-18
									",O Dwyers A,Damian Gilmore Skerries Harps
U16 Football League Div.6,05 May,19:30,Clontarf Road,Scoil Ui Chonaill,"
										3-14
									","
										4-7
									",St Vincents B,Damien Burnett Craobh Chiarain
U16 Football League Div.6,05 May,19:30,Silver Park,Kilmacud Crokes B,"
										6-11
									","
										3-6
									",St Judes B,Gavin Soraghan Nh. Olaf
U16 Football League Div.6,07 Apr,18:45,Pairc Ui Tuaithail Blunden Drive,O Tooles,"
										4-7
									","
										0-1
									",Kilmacud Crokes B,Brian Moore Craobh Chiaran
U16 Football League Div.6,07 Apr,18:45,Bremore Park,O Dwyers A,"
										3-9
									","
										8-12
									",Scoil Ui Chonaill,Robert Fennelly Trinity Gaels
U16 Football League Div.6,07 Apr,18:45,Tymon Park,St Judes B,"
										2-7
									","
										2-19
									",Thomas Ashe,Eamon O Dowd-Ballyfermot De La Salle
U16 Football League Div.6,07 Apr,18:45,PNU,St Vincents B,"
										3-13
									","
										1-13
									",Round Towers L,Laurence Kelly-Naomh Fionnbarra
U16 Football League Div.6,26 Mar,15:15,Lusk,Round Towers L,"
										2-9
									","
										4-11
									",O Tooles,Gerry Seaver Ballyboughal
U16 Football League Div.6,26 Mar,15:00,Silver Park,Kilmacud Crokes B,"
										3-7
									","
										4-11
									",Scoil Ui Chonaill,Seamus Farrelly Ballinteer St. John
U16 Football League Div.6,26 Mar,15:00,St Margarets,Thomas Ashe,"
										W/O
									","
										W/O
									",O Dwyers A,Stephen Manning Fingal Ravens
U16 Football League Div.6,26 Mar,15:00,PNU,St Vincents B,"
										W/O
									","
										W/O
									",St Judes B,Ernie Brenner St Sylvesters
U16 Football League Div.6,12 Mar,15:00,Bremore Park,O Dwyers A,"
										8-10
									","
										4-11
									",Kilmacud Crokes B,Eilis Ni Chearnaigh Setanta
U16 Football League Div.6,12 Mar,15:00,Pairc Ui Tuaithail Blunden Drive,O Tooles,"
										1-9
									","
										1-7
									",St Vincents B,Eamon Bryce Whitehall Colmcille
U16 Football League Div.6,26 Feb,15:00,St Margarets,Thomas Ashe,"
										4-12
									","
										1-3
									",Kilmacud Crokes B,Terry Carton Naomh Fionnbarra
U16 Football League Div.6,26 Feb,15:00,Lusk,Round Towers L,"
										W/O
									","
										W/O
									",Scoil Ui Chonaill,Ian Howley-O Dwyers
U16 Football League Div.6,26 Feb,15:00,PNU,St Vincents B,"
										11-8
									","
										1-7
									",O Dwyers A,Dermot Deasy Ballymun Kickhams
U16 Football League Div.6,26 Feb,15:00,Pairc Ui Tuaithail Blunden Drive,O Tooles,"
										11-15
									","
										0-5
									",St Judes B,Conor Kavanagh Naomh Mearnog
U16 Football League Div.1,27 Jun,19:30,Porterstown,Castleknock A,"
										2-17
									","
										1-15
									",Na Fianna A,Dave Sweeney Nh. OP/ER
U16 Football League Div.1,24 Jun,19:30,St Annes 23,Clontarf A,"
										2-15
									","
										3-3
									",St Vincents A,Danny Harrington Naomh Mearnog
U16 Football League Div.1,21 Jun,19:30,St Annes 23,Clontarf A,"
										6-11
									","
										0-8
									",Ballinteer St Johns A,Dave Aston Naomh Mearnog
U16 Football League Div.1,02 Jun,19:30,Finglas,Ballyboden St Endas A,"
										1-11
									","
										1-8
									",Erins Isle A,CiaránReilly Na Fianna
U16 Football League Div.1,17 May,19:30,Mobhi Road,Na Fianna A,"
										2-11
									","
										1-3
									",Clontarf A,Des Molloy St Peregrines
U16 Football League Div.1,17 May,19:30,PNU,St Vincents A,"
										2-5
									","
										0-13
									",Castleknock A,Danny Harrington Naomh Mearnog
U16 Football League Div.1,17 May,19:30,Finglas,Erins Isle A,"
										0-11
									","
										4-11
									",Ballinteer St Johns A,Brian O Connor Westmanstown Gaels
U16 Football League Div.1,16 May,19:30,Tymon Park,St Judes A,"
										3-11
									","
										2-9
									",Ballyboden St Endas A,Seamus Farrelly Ballinteer St. John
U16 Football League Div.1,10 May,19:00,Beneavin,Erins Isle A,"
										0-10
									","
										0-13
									",Castleknock A,Dave Sweeney Nh. OP/ER
U16 Football League Div.1,05 May,19:30,Loreto Park,Ballinteer St Johns A,"
										W/O
									","
										W/O
									",Na Fianna A,Dave O Donovan St Marks
U16 Football League Div.1,05 May,19:30,Tymon Park,St Judes A,"
										1-12
									","
										1-14
									",Castleknock A,Ronnie Malone-St Marys
U16 Football League Div.1,05 May,19:30,St Annes 23,Clontarf A,"
										5-12
									","
										3-7
									",Erins Isle A,Danny Harrington Naomh Mearnog
U16 Football League Div.1,05 May,19:30,Ballycullen,Ballyboden St Endas A,"
										3-10
									","
										0-11
									",St Vincents A,Seamus Farrelly Ballinteer St. John
U16 Football League Div.1,28 Apr,19:00,Loreto Park,Ballinteer St Johns A,"
										4-9
									","
										7-14
									",St Judes A,Ronnie Malone-St Marys
U16 Football League Div.1,12 Apr,19:00,PNU,St Vincents A,"
										2-10
									","
										2-6
									",St Judes A,Kevin Roche Whitehall Colmcille
U16 Football League Div.1,07 Apr,18:45,Mobhi Road,Na Fianna A,"
										2-7
									","
										2-5
									",Ballyboden St Endas A,Tom Tansey St Brendans
U16 Football League Div.1,07 Apr,18:45,Porterstown,Castleknock A,"
										3-8
									","
										1-10
									",Clontarf A,Dave Sweeney Nh. OP/ER
U16 Football League Div.1,07 Apr,18:45,PNU,St Vincents A,"
										6-18
									","
										3-2
									",Ballinteer St Johns A,PJ Murray-St Finians S
U16 Football League Div.1,07 Apr,18:45,Finglas,Erins Isle A,"
										1-4
									","
										2-14
									",St Judes A,Derek Doran St Colmcilles
U16 Football League Div.1,26 Mar,15:00,Ballycullen,Ballyboden St Endas A,"
										4-19
									","
										1-7
									",Clontarf A,Seamus Keher - Lucan Sarsfields
U16 Football League Div.1,26 Mar,15:00,Tymon Park,St Judes A,"
										4-5
									","
										1-8
									",Na Fianna A,Tom Curran Faughs
U16 Football League Div.1,26 Mar,15:00,Loreto Park,Ballinteer St Johns A,"
										0-3
									","
										2-19
									",Castleknock A,Bobby Moran St Judes
U16 Football League Div.1,26 Mar,15:00,Finglas,Erins Isle A,"
										2-4
									","
										2-14
									",St Vincents A,Conor Kavanagh Naomh Mearnog
U16 Football League Div.1,12 Mar,15:00,Somerton,Castleknock A,"
										1-9
									","
										0-10
									",Ballyboden St Endas A,Laurence Kelly-Naomh Fionnbarra
U16 Football League Div.1,12 Mar,15:00,Collinstown,Na Fianna A,"
										0-13
									","
										1-11
									",Erins Isle A,Gerard Cooper Lucan Sarsfields
U16 Football League Div.1,26 Feb,15:00,Marlay Pk,Ballinteer St Johns A,"
										
									","
										
									",Ballyboden St Endas A,Dave O Donovan St Marks
U16 Football League Div.1,26 Feb,15:00,Tymon Park,St Judes A,"
										7-13
									","
										0-4
									",Clontarf A,Dean Alford Round Towers C
U16 Football League Div.1,26 Feb,15:00,Collinstown,Na Fianna A,"
										1-5
									","
										1-7
									",St Vincents A,Liam Aherne Clarke Ballyboughal
U16 Football League Div.9,28 Jun,19:30,Man O War,Man O War B,"
										8-12
									","
										1-9
									",O Dwyers B,Robert Fennelly Trinity Gaels
U16 Football League Div.9,22 Jun,19:30,Malahide Castle,St Sylvesters C,"
										2-7
									","
										6-13
									",Man O War B,Robert Fennelly Trinity Gaels
U16 Football League Div.9,05 May,19:30,Shanganagh Park,Cuala C,"
										0-3
									","
										11-15
									",O Dwyers B,Paul Cullivan St Annes
U16 Football League Div.9,05 May,19:30,Johnstown Park,Na Fianna C,"
										1-8
									","
										2-11
									",St Sylvesters C,Terry Carton Naomh Fionnbarra
U16 Football League Div.9,05 May,19:30,Porterstown,Castleknock C,"
										2-8
									","
										10-8
									",Man O War B,John Doherty Robert Emmets
U16 Football League Div.9,30 Apr,14:00,Bremore Park,O Dwyers B,"
										11-23
									","
										1-2
									",Castleknock C,Paul Wilde Skerries Harps
U16 Football League Div.9,23 Apr,11:30,Thomastown,Cuala C,"
										3-7
									","
										5-10
									",St Sylvesters C,Richard Sheil Nh. Olaf
U16 Football League Div.9,09 Apr,14:30,Man O War,Man O War B,"
										4-15
									","
										3-9
									",Cuala C,John O Brien O Dwyers
U16 Football League Div.9,07 Apr,18:45,Bridgefield,St Sylvesters C,"
										W/O
									","
										W/O
									",Castleknock C,David Cullen Fingallians
U16 Football League Div.9,07 Apr,18:45,Bremore Park,O Dwyers B,"
										12-20
									","
										0-1
									",Na Fianna C,Daniel Burke - St Patricks D
U16 Football League Div.9,26 Mar,15:00,Porterstown,Castleknock C,"
										W/O
									","
										W/O
									",Cuala C,Tony Clarke Lucan Sarsfields
U16 Football League Div.9,26 Mar,15:00,Bremore Park,O Dwyers B,"
										W/O
									","
										W/O
									",St Sylvesters C,Adam Smyth Ballyboughal
U16 Football League Div.9,26 Mar,15:00,Collinstown,Na Fianna C,"
										0-6
									","
										5-9
									",Man O War B,Eoghan Stanley Clontarf
U16 Football League Div.9,12 Mar,15:00,Porterstown,Castleknock C,"
										6-14
									","
										1-4
									",Na Fianna C,Tom Tansey St Brendans
U16 Football League Div.9,26 Feb,13:30,Collinstown,Na Fianna C,"
										1-6
									","
										3-3
									",Cuala C,Liam Aherne Clarke Ballyboughal
U16 Football League Div.5,13 Jul,19:30,John Paul Park,Naomh Fionnbarra,"
										W/O
									","
										W/O
									",Man O War A,Dave Sweeney Nh. OP/ER
U16 Football League Div.5,09 Jul,15:00,Sean Moore Park,Naomh Fionnbarra,"
										2-5
									","
										14-20
									",Clanna Gael Fontenoy,Colm McCarthy-St Vincents
U16 Football League Div.5,09 Jul,12:00,Rush,St Maurs,"
										1-16
									","
										5-9
									",Castleknock B,PJ Murray-St Finians S
U16 Football League Div.5,25 Jun,14:00,Saggart,St Marys S,"
										1-18
									","
										5-6
									",Ballyboden St Endas B,Tony Clarke Lucan Sarsfields
U16 Football League Div.5,18 Jun,15:30,Man O War,Man O War A,"
										2-15
									","
										7-7
									",Skerries Harps,David Cullen Fingallians
U16 Football League Div.5,31 May,19:30,Sean Moore Park,Clanna Gael Fontenoy,"
										4-15
									","
										1-7
									",Skerries Harps,Damien Burnett Craobh Chiarain
U16 Football League Div.5,21 May,15:00,Ballycullen,Ballyboden St Endas B,"
										4-14
									","
										1-11
									",Castleknock B,Seamus Farrelly Ballinteer St. John
U16 Football League Div.5,17 May,19:30,Townparks,Skerries Harps,"
										W/O
									","
										W/O
									",St Maurs,Robert Fennelly Trinity Gaels
U16 Football League Div.5,17 May,19:30,Ballycullen,Ballyboden St Endas B,"
										4-12
									","
										1-10
									",Naomh Fionnbarra,Paul Cullivan St Annes
U16 Football League Div.5,17 May,19:30,Sean Moore Park,Clanna Gael Fontenoy,"
										6-15
									","
										4-9
									",St Marys S,Damien Burnett Craobh Chiarain
U16 Football League Div.5,17 May,19:30,Porterstown,Castleknock B,"
										2-6
									","
										1-10
									",Man O War A,Ronnie Malone-St Marys
U16 Football League Div.5,11 May,19:30,Townparks,Skerries Harps,"
										8-14
									","
										7-8
									",Naomh Fionnbarra,Robert Fennelly Trinity Gaels
U16 Football League Div.5,07 May,14:00,Man O War,Man O War A,"
										1-6
									","
										4-19
									",Ballyboden St Endas B,Ian Howley-O Dwyers
U16 Football League Div.5,06 May,19:30,Rush,St Maurs,"
										6-8
									","
										1-6
									",Clanna Gael Fontenoy,Daniel Burke - St Patricks D
U16 Football League Div.5,05 May,19:30,Townparks,Skerries Harps,"
										4-13
									","
										8-11
									",St Marys S,Robert Fennelly Trinity Gaels
U16 Football League Div.5,05 May,19:30,John Paul Park,Naomh Fionnbarra,"
										4-8
									","
										3-16
									",Castleknock B,Fergus McGreevy Nh. OP/ER
U16 Football League Div.5,07 Apr,18:45,Ballycullen,Ballyboden St Endas B,"
										W/O
									","
										W/O
									",St Maurs,Dean Alford Round Towers C
U16 Football League Div.5,07 Apr,18:45,Saggart,St Marys S,"
										6-16
									","
										4-10
									",Naomh Fionnbarra,Robert Doyle - Round Towers C
U16 Football League Div.5,07 Apr,18:45,Sean Moore Park,Clanna Gael Fontenoy,"
										W/O
									","
										W/O
									",Man O War A,Damien Burnett Craobh Chiarain
U16 Football League Div.5,07 Apr,18:45,Porterstown,Castleknock B,"
										2-6
									","
										3-10
									",Skerries Harps,Terry Carton Naomh Fionnbarra
U16 Football League Div.5,26 Mar,15:00,Rush,St Maurs,"
										3-15
									","
										3-10
									",Naomh Fionnbarra,Damian Gilmore Skerries Harps
U16 Football League Div.5,26 Mar,15:00,Townparks,Skerries Harps,"
										0-11
									","
										6-15
									",Ballyboden St Endas B,Robert Fennelly Trinity Gaels
U16 Football League Div.5,26 Mar,15:00,Somerton,Castleknock B,"
										W/O
									","
										W/O
									",Clanna Gael Fontenoy,Dermot Deasy Ballymun Kickhams
U16 Football League Div.5,26 Mar,13:15,Man O War,Man O War A,"
										2-5
									","
										7-10
									",St Marys S,Gerry Seaver Ballyboughal
U16 Football League Div.5,12 Mar,15:00,Saggart,St Marys S,"
										6-15
									","
										2-6
									",St Maurs,Stephen Walsh St Judes
U16 Football League Div.5,26 Feb,15:00,Man O War,Man O War A,"
										4-3
									","
										2-4
									",St Maurs,John O Brien O Dwyers
U16 Football League Div.5,26 Feb,15:00,Porterstown,Castleknock B,"
										2-2
									","
										2-6
									",St Marys S,Neil O Leary Lucan Sarsfields
U16 Football League Div.5,26 Feb,15:00,Ballycullen,Ballyboden St Endas B,"
										6-11
									","
										0-3
									",Clanna Gael Fontenoy,Tom Curran Faughs
U16 Football League Div.2,09 Jul,15:30,Community Centre,Round Towers C,"
										W/O
									","
										W/O
									",Thomas Davis,TBC
U16 Football League Div.2,18 Jun,15:30,Pairc Mearnog,Naomh Mearnog,"
										1-7
									","
										7-16
									",Lucan Sarsfields A,John O Brien O Dwyers
U16 Football League Div.2,31 May,19:30,Rolestown,Fingal Ravens,"
										4-17
									","
										2-10
									",Beann Eadair A,Derek Doran St Colmcilles
U16 Football League Div.2,26 May,19:30,Malahide Castle,St Sylvesters A,"
										5-16
									","
										4-11
									",Kilmacud Crokes A,Danny Harrington Naomh Mearnog
U16 Football League Div.2,19 May,19:30,Arthur Griffith Park,Lucan Sarsfields A,"
										0-7
									","
										3-14
									",St Sylvesters A,D P Ryan-St Patricks P
U16 Football League Div.2,17 May,19:30,Kiltipper Rd,Thomas Davis,"
										4-8
									","
										9-12
									",Fingal Ravens,Lee Moroney St Annes
U16 Football League Div.2,17 May,19:30,Silver Park,Kilmacud Crokes A,"
										8-13
									","
										0-4
									",Naomh Mearnog,Gavin Soraghan Nh. Olaf
U16 Football League Div.2,17 May,19:30,Pairc O Ruairc-Balkill Road,Beann Eadair A,"
										1-6
									","
										0-4
									",Round Towers C,Conor Kavanagh Naomh Mearnog
U16 Football League Div.2,11 May,19:00,Silver Park,Kilmacud Crokes A,"
										3-8
									","
										1-7
									",Lucan Sarsfields A,Dean Alford Round Towers C
U16 Football League Div.2,05 May,19:30,Community Centre,Round Towers C,"
										2-11
									","
										4-12
									",Kilmacud Crokes A,Eamon O Dowd-Ballyfermot De La Salle
U16 Football League Div.2,05 May,19:30,Kiltipper Rd,Thomas Davis,"
										3-11
									","
										3-13
									",St Sylvesters A,Dean Alford Round Towers C
U16 Football League Div.2,05 May,19:30,Pairc Mearnog,Naomh Mearnog,"
										1-6
									","
										1-11
									",Beann Eadair A,David Cullen Fingallians
U16 Football League Div.2,05 May,19:30,Rolestown,Fingal Ravens,"
										3-17
									","
										0-9
									",Lucan Sarsfields A,PJ Murray-St Finians S
U16 Football League Div.2,07 Apr,18:45,Silver Park,Kilmacud Crokes A,"
										5-13
									","
										4-8
									",Fingal Ravens,Adam Kelly - Lucan Sarsfields
U16 Football League Div.2,07 Apr,18:45,Malahide Castle,St Sylvesters A,"
										4-12
									","
										1-5
									",Naomh Mearnog,Luke Lacey Na Fianna
U16 Football League Div.2,07 Apr,18:45,Arthur Griffith Park,Lucan Sarsfields A,"
										4-10
									","
										0-7
									",Round Towers C,Rory Hanley St Brigids
U16 Football League Div.2,07 Apr,18:45,Pairc O Ruairc-Balkill Road,Beann Eadair A,"
										3-10
									","
										3-16
									",Thomas Davis,Chris McGinn Clontarf
U16 Football League Div.2,26 Mar,15:00,Rolestown,Fingal Ravens,"
										3-12
									","
										0-8
									",Naomh Mearnog,David Cullen Fingallians
U16 Football League Div.2,26 Mar,15:00,Kiltipper Rd,Thomas Davis,"
										0-15
									","
										3-12
									",Kilmacud Crokes A,Ger Delaney Ballyboden St Enda
U16 Football League Div.2,26 Mar,15:00,Community Centre,Round Towers C,"
										3-7
									","
										2-8
									",St Sylvesters A,John Doherty Robert Emmets
U16 Football League Div.2,26 Mar,15:00,Pairc O Ruairc-Balkill Road,Beann Eadair A,"
										3-7
									","
										7-11
									",Lucan Sarsfields A,Damien Burnett Craobh Chiarain
U16 Football League Div.2,12 Mar,15:00,Malahide Castle,St Sylvesters A,"
										3-11
									","
										3-13
									",Fingal Ravens,Derek Doran St Colmcilles
U16 Football League Div.2,12 Mar,15:00,Silver Park,Kilmacud Crokes A,"
										7-11
									","
										3-2
									",Beann Eadair A,John Rutherford Ballyboden St Enda
U16 Football League Div.2,12 Mar,15:00,Pairc Mearnog,Naomh Mearnog,"
										1-4
									","
										7-8
									",Round Towers C,Ian Howley-O Dwyers
U16 Football League Div.2,12 Mar,15:00,Arthur Griffith Park,Lucan Sarsfields A,"
										1-7
									","
										1-11
									",Thomas Davis,Eamon O Dowd-Ballyfermot De La Salle
U16 Football League Div.2,26 Feb,15:00,Community Centre,Round Towers C,"
										5-15
									","
										0-10
									",Fingal Ravens,Brian O Connor Westmanstown Gaels
U16 Football League Div.2,26 Feb,15:00,Kiltipper Rd,Thomas Davis,"
										3-10
									","
										1-9
									",Naomh Mearnog,Dave O Donovan St Marks
U16 Football League Div.2,26 Feb,15:00,Pairc O Ruairc-Balkill Road,Beann Eadair A,"
										2-3
									","
										8-9
									",St Sylvesters A,Luke Lacey Na Fianna
U16 Football League Div.8,19 Jul,19:30,Killinarden Park,Croi Ro Naofa,"
										W/O
									","
										W/O
									",Geraldine P Moran,Eamon O Dowd-Ballyfermot De La Salle
U16 Football League Div.8,09 Jul,15:30,Pairc O Ruairc-Balkill Road,Beann Eadair B,"
										W/O
									","
										W/O
									",Tyrrelstown,TBC
U16 Football League Div.8,09 Jul,15:00,Ballyogan,Geraldine P Moran,"
										W/O
									","
										W/O
									",Fingallians B,Caomhan Bermingham Nh. Olaf
U16 Football League Div.8,09 Jul,14:00,Killinarden Park,Croi Ro Naofa,"
										2-10
									","
										2-7
									",St Patricks P,Gerard Cooper Lucan Sarsfields
U16 Football League Div.8,25 Jun,14:00,Finglas,Erins Isle B,"
										
									","
										
									",Clontarf B,Tim McCarthy Snr St Vincents
U16 Football League Div.8,22 Jun,19:30,Bellgree Pitch,Tyrrelstown,"
										0-5
									","
										11-7
									",Erins Isle B,Eamon O Dowd-Ballyfermot De La Salle
U16 Football League Div.8,21 May,15:00,Finglas,Erins Isle B,"
										
									","
										
									",Geraldine P Moran,Michael Gaffney - Na Fianna
U16 Football League Div.8,17 May,19:30,Glenaulin Park,St Patricks P,"
										1-15
									","
										2-2
									",Geraldine P Moran,Eamon O Dowd-Ballyfermot De La Salle
U16 Football League Div.8,17 May,19:30,St Annes 23,Clontarf B,"
										W/O
									","
										W/O
									",Beann Eadair B,TBC
U16 Football League Div.8,17 May,19:30,HolyWell,Fingallians B,"
										7-7
									","
										5-10
									",Croi Ro Naofa,Stephen Manning Fingal Ravens
U16 Football League Div.8,05 May,19:30,Killinarden Park,Croi Ro Naofa,"
										4-6
									","
										1-5
									",Clontarf B,Gerard Cooper Lucan Sarsfields
U16 Football League Div.8,05 May,19:30,Glenaulin Park,St Patricks P,"
										7-13
									","
										1-10
									",Erins Isle B,Seamus Keher - Lucan Sarsfields
U16 Football League Div.8,05 May,19:30,Pairc O Ruairc-Balkill Road,Beann Eadair B,"
										W/O
									","
										W/O
									",Fingallians B,TBC
U16 Football League Div.8,05 May,19:30,Ballyogan,Geraldine P Moran,"
										5-18
									","
										0-5
									",Tyrrelstown,Caomhan Bermingham Nh. Olaf
U16 Football League Div.8,30 Apr,15:00,St Annes 23,Clontarf B,"
										2-11
									","
										3-10
									",Fingallians B,Brian Moore Craobh Chiaran
U16 Football League Div.8,23 Apr,15:00,HolyWell,Fingallians B,"
										3-8
									","
										3-11
									",Erins Isle B,Daniel Burke - St Patricks D
U16 Football League Div.8,07 Apr,19:00,Finglas,Erins Isle B,"
										W/O
									","
										W/O
									",Beann Eadair B,TBC
U16 Football League Div.8,07 Apr,18:45,St Annes 23,Clontarf B,"
										W/O
									","
										W/O
									",Geraldine P Moran,George Williams -Trinity Gaels
U16 Football League Div.8,07 Apr,18:45,Bellgree Pitch,Tyrrelstown,"
										6-4
									","
										7-7
									",Croi Ro Naofa,Dave Foley St Peregrines
U16 Football League Div.8,07 Apr,18:45,HolyWell,Fingallians B,"
										2-12
									","
										4-12
									",St Patricks P,Brian Doran St Colmcilles
U16 Football League Div.8,26 Mar,15:00,Ballyogan,Geraldine P Moran,"
										W/O
									","
										W/O
									",Beann Eadair B,TBC
U16 Football League Div.8,26 Mar,15:00,Glenaulin Park,St Patricks P,"
										1-4
									","
										1-6
									",Clontarf B,Eamon O Dowd-Ballyfermot De La Salle
U16 Football League Div.8,26 Mar,15:00,Killinarden Park,Croi Ro Naofa,"
										3-3
									","
										0-6
									",Erins Isle B,Dean Alford Round Towers C
U16 Football League Div.8,26 Mar,13:30,HolyWell,Fingallians B,"
										14-20
									","
										1-1
									",Tyrrelstown,Adrian Kavanagh Naomh Mearnog
